"","Father_A","Father_B","Father_C","Mother_A","Mother_B","Mother_C","D21_A","D21_B","D21_C","T21_A","T21_B","T21_C"
"NM_001276351",0,0,0,0,0,0,0,0,0,0,0,0
"NR_075077",0,0,0,1,0,0,0,0,0,1,0,0
"NM_000299",0,1,0,0,0,0,1,0,0,1,0,0
"NM_001005337",0,1,0,0,0,0,1,0,0,1,0,0
"NM_001276352",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001281956",2,4,4,0,0,1,0,0,0,3,0,4
"NM_012102",2516,1013,4615,1551,862,762,1965,529,885,2698,731,1565
"NM_001042682",1516,424,2797,871,235,463,1189,139,525,1802,229,923
"NM_001042681",2445,992,4547,1500,837,746,1915,520,858,2639,721,1550
"NM_052896",2,4,4,0,0,1,0,0,0,3,0,4
"NR_038261",78,27,93,82,55,18,45,12,17,63,20,34
"NM_001319683",338,157,721,423,203,60,536,156,234,362,246,378
"NM_001320285",11,9,13,9,0,1,9,3,10,13,16,7
"NM_001130058",11,9,13,9,0,1,9,3,10,11,14,7
"NM_024686",8,6,46,4,9,1,14,11,1,13,18,52
"NM_001320287",11,9,13,9,0,1,9,3,10,11,14,7
"NM_053274",354,176,761,451,233,70,571,169,243,392,273,400
"NR_135089",318,155,693,413,196,61,509,153,220,348,228,362
"NM_152697",7,8,10,13,2,2,8,0,7,16,12,11
"NM_001320283",6,8,8,11,3,2,7,1,4,15,12,12
"NM_001350214",8,6,47,4,9,1,14,11,1,13,18,52
"NM_006699",1305,1437,4384,1361,1383,306,1633,1089,778,1950,1875,1442
"NM_001350215",8,6,46,4,4,1,14,10,1,13,18,47
"NM_001001740",810,993,1632,790,925,185,1027,682,364,1033,941,720
"NM_001286644",807,957,1499,762,892,194,912,668,363,968,917,692
"NR_126003",12,7,13,26,5,1,33,6,16,14,6,11
"NM_003568",0,0,6,2,0,3,6,4,10,10,7,14
"NM_030806",15,24,115,1,7,5,236,159,109,213,230,350
"NM_022457",1001,1249,1907,953,1200,234,1279,874,456,1247,1237,916
"NM_003953",904,745,1380,779,909,284,642,420,279,1014,735,586
"NM_001146191",736,566,1111,625,687,223,447,296,210,818,532,464
"NM_024569",878,728,1343,751,885,273,639,397,266,978,712,566
"NR_134509",3,3,19,2,1,1,0,0,0,5,1,3
"NR_134510",3,2,19,2,1,1,1,0,0,4,1,3
"NM_005525",0,1,3,0,0,0,1,0,0,2,5,0
"NM_001350248",330,281,800,350,409,90,517,272,255,581,579,481
"NM_001350249",313,291,776,335,417,89,509,272,250,561,577,475
"NM_001350251",371,294,888,404,429,94,563,284,296,631,606,532
"NM_001206741",0,1,3,0,0,0,0,0,0,1,5,0
"NM_001350246",330,286,825,354,413,88,518,275,272,580,582,498
"NM_001350247",325,283,794,351,408,87,513,273,269,572,573,489
"NM_006642",304,277,763,327,395,86,489,266,243,547,561,461
"NM_181755",0,1,3,0,0,0,0,0,0,1,5,0
"NM_001349609",88,71,268,51,70,27,89,36,35,116,58,50
"NM_199454",1,4,2,2,7,2,1,0,1,3,2,0
"NM_001350803",21,18,27,10,11,9,12,2,0,48,114,58
"NM_001350804",23,18,27,10,11,10,12,2,0,48,115,59
"NM_001350806",23,18,27,10,11,9,12,2,0,49,114,58
"NM_001350805",21,18,27,9,11,9,12,2,0,48,114,59
"NM_001305275",1220,1428,3707,956,1114,426,1052,762,717,1952,1360,1611
"NM_001242874",19,18,27,9,11,9,12,2,0,47,114,58
"NM_001033581",21,18,27,10,11,9,12,2,0,48,114,57
"NM_181864",271,490,552,256,536,125,190,285,116,449,538,370
"NM_001349612",27,37,112,20,9,12,56,5,27,35,3,23
"NM_001364727",1127,1288,3465,924,970,402,983,699,674,1836,1230,1534
"NM_002744",28,22,28,11,19,13,12,3,2,53,153,81
"NM_001349610",89,70,268,51,70,27,89,36,35,116,58,49
"NM_022114",1,4,2,2,7,2,2,0,1,3,2,0
"NM_015215",91,71,271,54,70,27,78,37,36,116,58,52
"NM_001349608",29,37,115,23,9,12,45,6,28,35,3,25
"NR_146911",21,18,27,10,11,9,12,2,0,48,114,57
"NM_007274",299,549,606,280,629,133,211,323,122,470,601,396
"NM_181865",272,492,548,258,536,126,192,284,114,450,537,371
"NM_181866",280,542,572,263,572,124,192,303,114,458,566,374
"NM_198576",1209,1428,3692,950,1109,423,1046,758,709,1938,1358,1604
"NM_015209",59,17,107,124,86,95,42,17,17,238,62,94
"NM_015164",1061,1608,2537,743,1168,463,883,793,526,1338,1286,1051
"NM_020780",8,4,0,1,1,0,0,1,4,5,2,1
"NM_004753",16,24,22,23,19,6,16,9,1,79,116,16
"NM_004565",202,294,377,133,276,73,223,150,95,237,237,149
"NM_001319225",9,19,18,14,13,6,15,9,1,51,94,13
"NM_201628",31,11,45,45,71,30,16,14,11,114,51,31
"NM_001324370",9,19,17,13,12,5,15,8,1,51,94,12
"NM_001370230",48,11,95,105,54,81,35,8,13,183,40,81
"NM_001319218",190,309,353,221,472,79,133,139,56,299,365,159
"NM_003748",226,341,382,274,531,87,146,148,60,364,398,179
"NM_001009999",1583,1711,2729,1554,2516,756,1754,1287,830,2158,1989,1491
"NM_014589",0,0,0,0,0,0,0,0,1,0,0,0
"NM_001198801",1600,898,4198,1734,942,446,1763,552,716,2367,1052,1847
"NM_001198802",1585,882,4175,1703,935,433,1717,545,706,2325,1040,1828
"NM_001363654",1496,1599,2574,1509,2279,723,1670,1170,760,2009,1772,1351
"NM_015013",1493,1580,2563,1485,2236,716,1658,1160,757,2008,1756,1338
"NM_170726",140,191,226,162,296,59,98,80,18,195,217,94
"NM_001198803",730,254,1897,635,236,159,781,150,289,969,257,713
"NM_001161504",214,311,375,258,501,78,147,133,59,348,372,171
"NM_003760",1501,818,3997,1650,886,406,1655,484,666,2187,961,1705
"NM_030812",0,0,2,0,0,0,0,0,0,0,0,0
"NM_015023",1102,979,2748,1003,922,524,854,462,556,1351,806,889
"NM_001276252",1206,1064,2878,1072,1008,562,940,505,608,1450,909,943
"NM_001312691",485,456,788,354,536,126,533,339,200,452,386,311
"NM_001312692",410,359,712,313,395,105,515,282,172,372,298,249
"NR_132401",518,492,854,386,580,137,597,375,221,478,417,327
"NR_132402",484,459,814,352,542,132,573,349,207,427,370,302
"NR_132403",455,415,775,331,505,124,520,310,198,393,336,281
"NR_132404",460,399,765,329,478,119,500,304,178,394,318,282
"NR_132405",435,375,726,308,455,112,460,270,169,362,292,261
"NR_132406",399,342,658,281,415,98,411,243,157,339,262,242
"NR_132407",411,367,697,290,404,113,519,295,174,356,294,249
"NR_132408",384,327,662,273,372,105,466,258,167,327,260,228
"NR_132409",370,326,638,251,362,98,445,255,147,314,253,220
"NR_132410",329,255,546,225,283,79,358,193,126,275,186,193
"NR_132412",316,254,522,204,274,74,349,190,116,268,185,187
"NR_132413",255,223,459,166,235,61,274,164,98,242,167,148
"NR_132414",188,150,311,121,179,45,206,109,70,172,106,92
"NR_132415",577,569,931,432,654,156,690,434,242,541,482,378
"NM_017646",629,564,1008,482,671,164,747,448,257,571,474,404
"NM_001099439",2,3,16,1,0,0,5,3,1,2,0,5
"NR_125987",5,3,0,0,6,2,1,1,0,4,2,1
"NM_032785",2,0,1,1,0,0,0,0,0,12,3,2
"NM_001328648",674,506,930,641,747,272,520,257,162,970,694,475
"NM_020883",6,10,10,6,10,2,3,4,6,11,9,7
"NM_001011547",0,0,0,0,0,0,0,0,1,0,0,0
"NM_001135181",0,0,0,0,0,0,0,0,1,0,0,0
"NM_001323573",2,0,1,1,0,0,0,0,0,12,3,2
"NM_001323574",2,0,1,1,0,0,0,0,0,12,3,2
"NM_001303427",674,506,930,641,747,272,520,257,163,970,694,475
"NR_136623",2,0,9,3,0,0,0,0,1,16,4,5
"NM_005764",0,0,3,0,0,0,0,0,0,0,0,0
"NM_001323575",2,0,1,1,0,0,0,0,0,12,3,2
"NM_015269",840,414,3242,1284,490,231,2285,653,1557,814,482,1714
"NM_001981",4734,4534,11505,6083,5592,1055,5985,3506,2756,6814,5639,5487
"NM_001159969",3103,2856,8355,4314,3667,714,4106,2398,1889,4638,3762,3752
"NM_021080",3,2,4,2,0,0,1,1,0,2,0,2
"NM_001353980",4,2,6,1,3,0,2,2,0,4,1,2
"NM_001009881",850,414,3258,1302,492,232,2320,658,1579,828,485,1743
"NR_110628",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001083592",2,6,31,0,0,0,0,5,5,0,0,3
"NM_005012",2,9,31,1,1,2,0,3,7,1,1,1
"NM_001321852",2517,1890,3830,2509,2706,870,3101,1775,1183,3504,2990,2053
"NM_001297441",755,603,1105,586,817,170,392,245,96,960,1035,800
"NM_001037341",755,603,1105,586,817,170,392,245,96,960,1035,800
"NM_002600",749,598,1099,583,811,169,387,245,95,957,1030,795
"NM_001321854",2517,1890,3832,2509,2707,870,3101,1775,1183,3504,2990,2053
"NM_001297440",755,603,1105,586,817,170,392,245,96,960,1035,800
"NM_176877",447,389,1139,489,427,112,264,98,79,343,263,409
"NM_001321853",2535,1893,3852,2527,2709,873,3123,1778,1196,3527,2991,2069
"NM_001350145",451,390,1141,490,429,112,267,98,79,345,265,413
"NM_001037340",755,603,1105,586,814,170,392,245,96,960,1035,800
"NR_040077",0,0,0,0,1,0,0,0,0,0,0,0
"NM_001199327",31,65,134,28,80,15,55,60,27,48,68,47
"NM_001112808",31,65,134,28,80,15,55,60,27,48,69,47
"NM_015978",12,19,46,10,10,3,15,5,14,12,16,17
"NM_024911",0,0,6,1,0,0,0,0,0,7,5,3
"NM_001193334",0,0,0,1,0,0,0,0,0,5,3,3
"NM_001002292",0,0,6,1,0,0,0,0,0,3,4,2
"NM_001366004",9,3,2,1,6,3,0,1,0,2,0,1
"NM_001160011",3,2,7,6,1,0,2,2,0,4,0,4
"NM_001349107",1,3,6,6,4,0,5,10,2,3,3,1
"NM_152996",1,3,7,6,5,0,5,10,3,3,3,1
"NM_001366003",9,3,2,1,6,3,0,1,0,2,0,1
"NM_001308237",416,366,1180,548,503,93,649,370,311,533,561,525
"NM_001349110",3,2,7,6,1,0,2,2,0,4,0,4
"NM_001349105",1,3,4,6,4,0,5,9,2,3,3,1
"NM_001349106",2,3,7,8,5,0,5,10,3,3,3,1
"NM_001349108",1,3,5,6,5,0,5,9,3,3,3,1
"NM_015534",741,739,2193,977,1042,190,1201,715,597,998,1092,1047
"NR_146056",1,3,7,6,5,1,5,10,3,3,3,1
"NM_001297704",9,1,2,1,6,3,0,1,0,2,0,1
"NM_001366008",9,3,2,1,6,3,0,1,0,2,0,1
"NM_006820",9533,7990,25213,7824,9313,1206,6366,3027,1477,12022,9200,8640
"NM_001349109",2,2,3,5,1,0,0,1,0,2,0,0
"NM_001349111",1,3,7,6,5,0,5,10,3,3,3,1
"NR_146343",376,263,839,254,272,47,327,174,131,610,432,307
"NR_146344",345,231,788,241,233,41,291,148,117,554,380,286
"NR_146345",392,278,861,253,274,53,352,171,141,632,446,314
"NR_146342",401,272,881,258,290,54,341,179,145,637,459,326
"NM_001349955",409,291,877,263,298,56,348,182,139,643,476,326
"NM_001330647",6240,3750,9714,7237,4954,1452,5523,1868,2361,7380,4117,5798
"NM_001134492",256,265,651,215,196,38,291,187,102,322,224,177
"NR_146341",409,291,877,263,298,56,348,182,139,643,476,326
"NR_146340",377,240,833,248,258,48,325,161,133,597,419,306
"NM_152890",409,291,877,263,298,56,348,182,139,644,476,326
"NM_153259",6009,3612,9426,7045,4761,1417,5410,1811,2325,7134,3916,5659
"NM_012262",1588,1330,3946,1560,1369,222,2229,1082,911,2452,1548,1378
"NR_034089",1249,578,4181,1392,653,281,1482,404,883,1289,567,1491
"NR_031666",11,7,22,9,2,0,7,2,4,4,1,0
"NM_000110",623,527,1264,135,282,67,352,279,175,590,478,180
"NR_138483",1739,1104,3369,1652,1867,417,2109,1334,1066,2015,1560,1364
"NR_126382",0,0,0,0,0,1,3,0,0,0,0,0
"NR_157569",0,0,0,0,0,0,0,0,0,0,0,0
"NM_006090",1621,1061,3203,1514,1796,404,1948,1309,1023,1897,1515,1305
"NM_000701",10734,10787,17467,7755,9257,3944,9351,6050,3841,11563,7757,6904
"NM_001330743",1571,984,3147,1460,1664,398,1883,1220,987,1846,1415,1289
"NR_138484",1779,1129,3426,1637,1863,426,2223,1351,1139,2061,1572,1429
"NR_138485",1748,1136,3421,1619,1927,419,2199,1352,1113,2040,1624,1429
"NM_001160233",10629,9911,17352,7653,8580,3916,9300,5522,3815,11449,7244,6829
"NM_001160234",10637,9884,17342,7662,8542,3914,9280,5517,3817,11452,7228,6835
"NM_001007794",1593,1069,3199,1504,1868,401,1936,1315,1004,1881,1565,1310
"NR_144516",315,271,584,132,149,78,165,83,98,262,166,182
"NR_144517",308,267,589,136,154,76,176,88,101,256,165,186
"NM_001002812",192,176,392,77,104,36,131,75,60,194,133,151
"NR_104189",0,1,0,0,0,0,0,0,0,0,0,0
"NR_103556",5,3,14,0,0,0,0,0,0,4,0,4
"NM_001350523",256,253,537,98,132,60,192,98,82,243,163,199
"NM_014455",1042,741,2022,981,1042,417,928,549,427,1404,889,782
"NM_001350521",265,252,553,106,140,59,184,110,84,250,169,197
"NM_020205",918,748,1701,740,886,343,772,386,310,1086,689,703
"NM_001198834",268,254,550,106,140,59,191,112,84,249,167,194
"NM_001002810",5,8,19,0,3,0,1,0,2,3,7,3
"NM_001350522",273,260,562,107,146,57,200,114,82,251,181,200
"NM_014644",270,254,551,106,141,59,192,113,84,249,168,195
"NM_022359",9,12,30,1,3,1,1,0,3,6,10,7
"NM_001195261",5,8,17,0,3,0,1,0,2,3,7,3
"NM_001195260",5,8,17,0,3,0,1,0,3,3,8,3
"NM_001198832",261,256,539,98,134,60,193,101,82,244,169,201
"NM_001044392",4,2,2,3,1,1,4,3,3,6,1,13
"NM_001199653",257,746,548,144,509,87,229,357,110,257,483,237
"NM_001199654",239,747,549,164,448,77,279,363,105,232,459,245
"NM_001199664",40,98,185,35,52,16,38,49,18,37,65,43
"NM_007221",364,1197,664,216,799,127,335,538,161,354,754,330
"NM_207308",10,11,34,3,9,2,35,6,3,12,5,2
"NM_001204297",4,2,4,3,1,1,4,3,3,6,1,13
"NM_001044391",3,2,2,3,1,1,4,2,3,6,1,13
"NM_001044390",4,0,10,3,1,1,7,2,3,7,3,13
"NM_001204286",16,7,29,13,1,3,8,4,6,13,5,20
"NM_001204287",11,2,19,11,1,3,7,4,3,11,4,16
"NM_001204288",7,2,10,6,1,1,7,4,3,8,3,15
"NM_001199661",123,472,287,53,269,45,61,233,51,125,273,99
"NM_001204285",15,6,29,13,1,3,8,3,6,12,5,17
"NM_001204293",6,2,7,6,1,1,4,2,3,6,4,14
"NM_001204294",10,0,15,4,1,3,7,2,3,10,1,15
"NM_001204292",11,1,15,4,1,3,7,3,3,11,1,16
"NM_001204291",11,1,15,7,1,3,7,4,3,11,3,16
"NM_001204289",11,0,15,7,1,3,7,4,3,10,1,15
"NM_001204296",5,0,10,3,1,1,7,3,3,7,3,13
"NM_001204295",4,3,8,3,1,1,7,3,3,9,1,14
"NM_002456",10,2,19,11,1,3,7,3,3,11,4,16
"NM_001044393",3,0,9,3,1,1,7,2,3,7,3,13
"NM_001199662",204,817,397,98,449,75,106,370,86,182,433,154
"NM_001199663",112,461,245,47,254,43,56,223,37,107,259,90
"NM_001204290",10,0,15,7,1,3,7,3,3,10,1,15
"NM_001018016",11,2,16,7,1,3,7,4,3,11,3,15
"NM_001159484",10,11,32,3,9,2,22,6,3,12,5,2
"NM_001018017",10,2,16,7,1,3,7,3,3,11,3,15
"NM_001184763",4616,3141,8573,4704,3650,542,4871,2145,1820,6760,3964,3619
"NM_175866",4810,3394,8892,4908,3953,565,5050,2326,1882,7043,4213,3774
"NM_001353131",0,0,0,0,0,0,0,0,0,1,0,0
"NM_001353130",0,0,1,0,0,0,0,0,1,0,0,0
"NM_001204961",0,0,1,0,0,0,0,0,1,0,0,0
"NM_002585",0,0,1,0,0,0,0,0,1,0,0,0
"NM_001204963",0,0,1,0,0,0,0,0,1,0,0,0
"NM_144624",4509,3151,8638,4653,3696,517,4735,2196,1781,6621,3952,3522
"NM_000696",686,848,1215,582,1089,273,561,615,213,918,1115,567
"NM_001365774",686,848,1214,576,1092,271,561,604,214,920,1100,563
"NM_001350204",14,7,35,129,52,8,13,9,6,152,87,100
"NM_022093",20,25,38,5,5,4,8,4,2,1,8,11
"NM_001136127",14,7,35,129,52,8,13,9,6,152,87,100
"NM_015569",14,7,35,129,52,8,13,9,6,152,87,100
"NM_001350205",3,3,8,14,8,1,6,3,2,14,10,12
"NM_001350206",8,3,24,29,11,0,3,6,2,38,31,21
"NR_146559",14,7,35,129,52,8,13,9,6,153,90,102
"NM_020423",488,390,864,485,483,98,451,267,189,473,411,360
"NM_001278252",3,3,8,14,8,1,6,3,2,14,10,12
"NM_181093",412,384,694,408,464,100,375,252,154,442,409,302
"NM_001350221",2524,794,3824,2080,892,701,2145,538,764,3042,796,1765
"NM_170692",5,5,32,3,4,0,12,1,0,5,6,31
"NM_032360",623,1196,1076,442,863,194,622,589,257,774,947,480
"NM_201569",1902,669,3186,1625,769,577,1651,476,608,2287,662,1299
"NM_201568",2369,736,3671,1963,798,672,1976,497,729,2846,704,1639
"NM_173156",2448,769,3770,2030,827,707,2066,511,763,2956,735,1706
"NM_001350222",2465,762,3776,2057,840,685,2080,519,745,2940,747,1696
"NM_001350219",2453,782,3739,2027,879,693,2081,527,754,2978,769,1726
"NR_045530",1308,792,1928,843,740,156,1081,492,411,1246,783,740
"NM_003101",1440,864,2039,909,821,177,1158,539,443,1353,866,788
"NM_001350220",2603,827,3923,2147,921,736,2235,552,798,3152,827,1832
"NM_001174061",2490,717,3806,2042,784,706,2090,496,758,2963,701,1701
"NM_001331007",2486,779,3782,2047,852,688,2078,520,752,2966,757,1720
"NM_001252511",1354,817,1963,861,783,163,1116,516,417,1282,817,748
"NM_001252512",1352,792,1959,859,742,160,1094,492,417,1272,782,749
"NM_001137669",2,2,6,3,1,0,5,5,1,0,0,5
"NM_021165",1,1,0,0,0,0,1,0,1,0,1,0
"NM_001366934",2,2,6,3,1,0,5,5,3,0,0,5
"NR_110793",0,0,0,0,0,0,0,0,0,0,0,0
"NR_146895",0,0,1,0,0,0,0,0,0,0,0,0
"NM_018136",952,1192,4303,1398,1886,423,1519,1496,947,1209,2006,2453
"NR_147896",0,1,0,1,0,0,0,0,0,0,0,1
"NM_001206846",653,743,2643,883,1112,251,1051,938,582,814,1140,1505
"NM_133494",1011,1068,2897,1387,1584,210,1468,1097,657,1501,1487,1327
"NM_002596",8,1,49,8,5,6,4,0,1,4,5,4
"NM_001167857",82,83,229,70,86,25,146,63,63,112,45,82
"NM_000651",4704,2147,6252,6195,3861,914,2443,1044,674,5018,2191,2872
"NM_002646",1115,615,2032,1718,1138,789,1209,444,668,1527,575,1010
"NM_000573",3355,1567,5130,4618,2946,700,1838,783,538,3700,1596,2152
"NM_212502",8,1,49,8,5,6,4,0,1,4,5,4
"NM_001331029",492,229,1054,385,269,103,545,151,233,484,194,435
"NM_001167858",68,75,203,64,73,16,112,50,51,86,39,66
"NM_182663",1855,2096,2703,1527,2412,745,1555,1141,613,2704,1907,1454
"NM_212503",8,1,49,8,5,6,4,0,1,4,5,4
"NM_182664",1629,1845,2540,1350,2080,668,1382,979,545,2420,1670,1265
"NM_182665",2057,2462,2895,1659,2698,809,1708,1352,673,2921,2255,1570
"NM_002481",459,208,1025,364,255,100,535,137,219,459,186,415
"NR_037850",0,1,0,0,0,0,0,0,0,0,0,0
"NM_001350122",0,0,1,0,0,0,0,0,2,0,0,0
"NM_001243510",0,0,1,0,0,0,0,0,2,0,0,0
"NM_001243511",0,0,1,0,0,0,0,0,2,0,0,0
"NM_001350124",0,0,1,0,0,0,0,0,2,0,0,0
"NM_001243505",0,0,1,0,0,0,0,0,2,0,0,0
"NM_001243507",0,0,1,0,0,0,0,0,2,0,0,0
"NM_001243506",0,0,1,0,0,0,0,0,2,0,0,0
"NM_001350123",0,0,1,0,0,0,0,0,2,0,0,0
"NM_001243509",0,0,1,0,0,0,0,0,2,0,0,0
"NM_001350125",0,0,1,0,0,0,0,0,2,0,0,0
"NM_172362",2,0,0,0,0,0,3,1,0,5,2,0
"NM_206595",0,0,1,0,0,0,0,0,2,0,0,0
"NM_002238",2,0,0,0,0,0,3,1,0,5,2,0
"NM_001320808",2589,1570,5457,2356,1557,257,2275,951,925,2773,1553,1650
"NM_001134285",0,0,1,0,0,0,0,0,2,0,0,0
"NM_014873",2561,1545,5362,2333,1544,254,2278,939,911,2722,1545,1616
"NM_206594",0,0,1,0,0,0,0,0,2,0,0,0
"NM_206933",1,1078,10,0,909,0,0,795,0,1,475,1
"NM_014053",1052,792,2164,1022,909,229,1071,493,543,1129,822,989
"NM_001115113",3376,1818,7936,3638,1876,816,3833,1191,1735,4203,1594,3151
"NM_001037175",2,0,0,0,0,0,0,0,0,1,0,0
"NR_038845",9,14,29,8,12,3,7,11,9,6,20,21
"NM_025160",3440,1811,8038,3731,1879,839,3895,1194,1760,4281,1591,3261
"NM_017982",1,0,2,0,7,0,0,0,0,1,1,0
"NM_012414",2350,2584,6405,3235,2485,374,3504,1830,1580,3788,3173,2998
"NM_001145036",508,589,835,357,675,160,501,355,148,497,551,327
"NM_001314021",693,803,1008,612,934,220,529,501,222,977,881,617
"NR_028400",110,141,337,110,157,38,124,90,50,208,144,99
"NR_028394",178,180,513,193,241,47,214,118,84,316,192,163
"NR_028395",175,177,500,186,231,43,210,117,84,314,191,161
"NR_028396",120,148,363,126,188,39,128,96,51,223,149,105
"NR_028397",177,178,509,190,241,47,214,117,83,316,192,163
"NR_028398",53,59,184,60,74,16,37,27,16,66,43,45
"NR_028393",124,158,356,131,197,46,124,96,50,232,156,108
"NM_001164540",19,19,32,17,45,13,4,2,0,28,20,7
"NM_001164551",10,4,13,4,16,5,0,0,0,6,11,1
"NM_001164549",11,11,15,7,25,2,7,5,0,11,14,4
"NM_001164539",18,9,33,19,34,6,4,6,0,20,15,5
"NM_001012959",12,9,34,16,35,6,4,6,0,18,15,7
"NM_001164542",12,9,33,16,35,7,4,6,0,15,16,5
"NM_001164546",11,7,15,7,23,2,0,5,0,10,14,3
"NM_001164548",15,8,19,13,29,2,0,5,1,17,13,4
"NM_018662",23,23,40,26,55,16,4,7,0,33,23,11
"NM_001012957",23,23,40,26,55,14,4,7,0,33,23,9
"NM_001164537",23,23,40,26,55,16,4,7,0,34,23,11
"NM_001164547",12,13,15,10,23,4,0,5,0,11,16,5
"NM_001164541",12,12,33,19,34,7,4,6,0,17,17,7
"NM_001164556",5,4,7,12,18,1,0,1,1,13,3,3
"NM_001164555",8,4,8,4,8,5,0,0,0,5,9,0
"NM_014777",673,791,1003,608,921,218,527,492,221,974,866,609
"NM_007357",536,621,856,401,711,169,509,371,155,533,595,341
"NM_001164538",13,16,33,19,38,10,4,6,0,18,17,7
"NM_001164545",15,8,21,13,29,2,0,5,1,18,13,4
"NM_001164544",18,11,34,20,39,6,4,6,1,20,14,6
"NM_001282773",0,0,0,1,0,0,0,0,0,0,2,0
"NM_001195811",0,0,0,0,0,0,0,0,0,0,0,1
"NM_001282775",0,0,0,1,0,0,0,0,0,0,2,0
"NM_001350114",0,0,0,1,0,0,0,0,0,0,2,0
"NM_001348094",2,2,5,0,0,0,1,0,0,1,0,0
"NM_001305424",2,2,5,0,0,0,1,0,0,1,0,1
"NM_001350115",0,0,0,1,0,0,0,0,0,0,2,0
"NM_152666",0,0,0,0,0,0,0,0,0,0,0,1
"NM_002924",0,0,1,1,0,0,0,0,0,0,2,0
"NM_001364886",0,0,1,1,0,0,0,0,0,0,2,0
"NM_001282778",0,0,0,1,0,0,0,0,0,0,2,0
"NM_001195812",0,0,0,0,0,0,0,0,0,0,0,1
"NM_001320272",0,0,1,0,0,1,0,0,0,0,0,1
"NM_020066",2,2,5,0,0,0,1,0,0,1,0,1
"NM_001350113",0,0,0,1,0,0,0,0,0,0,2,0
"NM_001350116",0,0,0,1,0,0,0,0,0,0,2,0
"NM_001167740",297,361,468,218,322,106,303,218,112,330,346,205
"NM_018012",569,505,996,501,374,134,674,313,302,982,556,660
"NM_022743",260,292,428,197,278,88,257,183,96,266,302,186
"NR_026874",0,0,0,0,0,0,0,0,0,0,0,0
"NR_122045",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001346116",105,234,223,59,135,40,83,119,62,121,182,105
"NR_144369",88,177,188,54,105,35,77,82,50,102,139,84
"NM_001313896",442,343,917,548,531,267,387,195,224,587,362,412
"NM_014188",761,1132,1552,518,807,234,599,580,251,788,846,503
"NM_022834",42,176,139,62,235,34,22,75,27,65,141,45
"NR_132739",395,272,797,470,454,232,328,157,203,468,302,381
"NM_001313982",425,326,898,530,522,260,367,191,222,576,350,402
"NM_153339",95,224,205,55,131,39,80,112,62,117,180,102
"NM_033529",423,326,892,526,518,260,367,191,222,573,350,397
"NM_001304360",6,1,3,0,0,0,4,0,2,0,0,9
"NM_199121",33,113,116,46,158,27,14,62,15,48,119,34
"NM_024011",431,340,896,539,535,269,386,194,227,587,353,411
"NM_001130045",1,0,2,0,0,0,1,0,0,0,0,0
"NM_002074",4192,3546,7989,3537,2934,1854,3908,1976,1658,6389,3046,3702
"NR_132740",414,289,822,492,467,239,348,161,205,482,314,396
"NM_001282539",4008,3255,7723,3414,2680,1774,3744,1802,1589,6082,2780,3527
"NM_001282538",3576,2724,6961,3069,2414,1533,3355,1586,1376,5345,2487,2924
"NM_001303013",44,63,180,26,14,8,35,34,19,64,24,40
"NM_033467",1,1,0,1,0,0,0,0,0,3,0,0
"NM_001242672",7,12,29,9,4,3,16,5,10,23,6,19
"NM_001303012",53,71,193,29,14,9,38,35,20,72,25,52
"NM_014638",44,63,180,25,14,8,34,34,20,61,24,43
"NM_024848",37,51,90,24,46,18,41,28,25,31,55,78
"NM_001301060",38,51,93,24,46,19,35,27,22,37,56,81
"NM_001204184",455,346,893,129,228,172,305,155,152,376,179,355
"NM_005427",493,362,925,135,238,193,336,161,162,405,191,372
"NM_001204187",398,304,821,117,205,152,255,140,128,338,159,294
"NM_001204186",388,303,801,115,199,148,240,142,133,329,161,293
"NM_001409",24,16,103,107,60,48,28,18,33,86,42,51
"NM_001204188",406,294,818,115,199,155,250,141,134,337,157,288
"NM_001204185",434,334,861,120,218,172,284,150,143,364,177,320
"NM_001042478",4,5,2,0,1,0,0,1,0,1,9,0
"NM_018836",6,10,8,1,2,0,0,1,1,7,9,1
"NM_001291593",181,137,387,97,103,60,159,81,72,145,130,146
"NM_003636",1842,2324,4213,1041,1641,649,1533,894,807,2298,1557,1736
"NM_172130",1784,2250,4129,1012,1605,639,1518,889,783,2245,1531,1688
"NM_001291594",176,140,371,97,85,52,159,81,72,144,119,141
"NM_015102",231,171,451,116,127,74,181,111,93,180,158,187
"NM_001199861",1777,2311,4135,1006,1536,646,1472,887,792,2261,1540,1679
"NM_015557",10,15,34,13,8,8,13,5,5,37,8,4
"NR_111987",243,176,467,118,125,79,187,115,93,184,168,189
"NM_001242701",107,88,273,75,92,28,96,47,32,147,79,68
"NR_038934",75,81,222,65,66,22,92,29,31,90,44,55
"NR_146202",79,83,242,72,77,28,99,30,33,101,63,56
"NR_146203",126,86,333,118,104,37,172,38,55,161,81,100
"NM_001195563",236,136,486,150,202,74,259,122,105,366,184,186
"NM_001349627",131,122,339,96,71,39,191,44,57,190,58,102
"NM_018198",715,797,1106,524,941,311,730,406,249,827,787,576
"NR_146204",117,83,329,87,62,32,167,28,48,176,55,99
"NM_024654",1065,627,1621,838,777,475,806,384,364,1153,588,771
"NM_001349614",12,9,22,8,0,1,18,5,10,3,3,6
"NM_001349620",11,9,19,5,0,1,18,4,9,3,3,4
